spec_date_mmwr	county	case_count	mmwr_startdate	mmwr_enddate
202101	McLeod County	80	1/3/21	1/9/21
202102	McLeod County	47	1/10/21	1/16/21
202103	McLeod County	31	1/17/21	1/23/21
202104	McLeod County	28	1/24/21	1/30/21
202105	McLeod County	13	1/31/21	2/6/21
202106	McLeod County	17	2/7/21	2/13/21
202107	McLeod County	17	2/14/21	2/20/21
202108	McLeod County	34	2/21/21	2/27/21
202109	McLeod County	32	2/28/21	3/6/21
202110	McLeod County	48	3/7/21	3/13/21
202111	McLeod County	67	3/14/21	3/20/21
202112	McLeod County	76	3/21/21	3/27/21
202113	McLeod County	88	3/28/21	4/3/21
202114	McLeod County	122	4/4/21	4/10/21
202115	McLeod County	123	4/11/21	4/17/21
202116	McLeod County	93	4/18/21	4/24/21
202117	McLeod County	108	4/25/21	5/1/21
202118	McLeod County	54	5/2/21	5/8/21
202119	McLeod County	47	5/9/21	5/15/21
202120	McLeod County	15	5/16/21	5/22/21
202121	McLeod County	7	5/23/21	5/29/21
202122	McLeod County	5	5/30/21	6/5/21
202123	McLeod County	14	6/6/21	6/12/21
202124	McLeod County	13	6/13/21	6/19/21
202125	McLeod County	14	6/20/21	6/26/21
202126	McLeod County	4	6/27/21	7/3/21
202127	McLeod County	6	7/4/21	7/10/21
202128	McLeod County	6	7/11/21	7/17/21
202129	McLeod County	16	7/18/21	7/24/21
202130	McLeod County	33	7/25/21	7/31/21
202131	McLeod County	62	8/1/21	8/7/21
202132	McLeod County	56	8/8/21	8/14/21
202133	McLeod County	77	8/15/21	8/21/21
202134	McLeod County	99	8/22/21	8/28/21
202135	McLeod County	143	8/29/21	9/4/21
202136	McLeod County	139	9/5/21	9/11/21
202137	McLeod County	183	9/12/21	9/18/21
202138	McLeod County	158	9/19/21	9/25/21
202139	McLeod County	228	9/26/21	10/2/21
202140	McLeod County	220	10/3/21	10/9/21
202141	McLeod County	173	10/10/21	10/16/21
202142	McLeod County	157	10/17/21	10/23/21
202143	McLeod County	213	10/24/21	10/30/21
202144	McLeod County	183	10/31/21	11/6/21
202145	McLeod County	208	11/7/21	11/13/21
202146	McLeod County	211	11/14/21	11/20/21
202147	McLeod County	204	11/21/21	11/27/21
202148	McLeod County	325	11/28/21	12/4/21
202149	McLeod County	145	12/5/21	12/11/21
202150	McLeod County	156	12/12/21	12/18/21
202151	McLeod County	132	12/19/21	12/25/21
202152	McLeod County	194	12/26/21	1/1/22
202201	McLeod County	442	1/2/22	1/8/22
202202	McLeod County	543	1/9/22	1/15/22
202203	McLeod County	534	1/16/22	1/22/22
202204	McLeod County	378	1/23/22	1/29/22
202205	McLeod County	253	1/30/22	2/5/22
202206	McLeod County	115	2/6/22	2/12/22
202207	McLeod County	84	2/13/22	2/19/22
202208	McLeod County	34	2/20/22	2/26/22
202209	McLeod County	32	2/27/22	3/5/22
202210	McLeod County	17	3/6/22	3/12/22
202211	McLeod County	18	3/13/22	3/19/22
202212	McLeod County	11	3/20/22	3/26/22
202213	McLeod County	12	3/27/22	4/2/22
202214	McLeod County	19	4/3/22	4/9/22
202215	McLeod County	13	4/10/22	4/16/22
202216	McLeod County	28	4/17/22	4/23/22
202217	McLeod County	50	4/24/22	4/30/22
202218	McLeod County	61	5/1/22	5/7/22
202219	McLeod County	76	5/8/22	5/14/22
202220	McLeod County	82	5/15/22	5/21/22
202221	McLeod County	92	5/22/22	5/28/22
202222	McLeod County	83	5/29/22	6/4/22
202223	McLeod County	82	6/5/22	6/11/22
202224	McLeod County	62	6/12/22	6/18/22
202225	McLeod County	62	6/19/22	6/25/22
202226	McLeod County	62	6/26/22	7/2/22
202227	McLeod County	48	7/3/22	7/9/22
202228	McLeod County	59	7/10/22	7/16/22
202229	McLeod County	58	7/17/22	7/23/22
202230	McLeod County	80	7/24/22	7/30/22
202231	McLeod County	86	7/31/22	8/6/22
202232	McLeod County	102	8/7/22	8/13/22
202233	McLeod County	71	8/14/22	8/20/22
202234	McLeod County	89	8/21/22	8/27/22
202235	McLeod County	87	8/28/22	9/3/22
202236	McLeod County	56	9/4/22	9/10/22
202237	McLeod County	44	9/11/22	9/17/22
202238	McLeod County	45	9/18/22	9/24/22
202239	McLeod County	25	9/25/22	10/1/22
202240	McLeod County	43	10/2/22	10/8/22
202241	McLeod County	58	10/9/22	10/15/22
202242	McLeod County	51	10/16/22	10/22/22
202243	McLeod County	42	10/23/22	10/29/22
202244	McLeod County	40	10/30/22	11/5/22
202245	McLeod County	28	11/6/22	11/12/22
202246	McLeod County	54	11/13/22	11/19/22
202247	McLeod County	52	11/20/22	11/26/22
202248	McLeod County	55	11/27/22	12/3/22
202249	McLeod County	49	12/4/22	12/10/22
202250	McLeod County	54	12/11/22	12/17/22
202251	McLeod County	41	12/18/22	12/24/22
202252	McLeod County	35	12/25/22	12/31/22
202301	McLeod County	23	1/1/23	1/7/23
202302	McLeod County	28	1/8/23	1/14/23
202303	McLeod County	43	1/15/23	1/21/23
202304	McLeod County	33	1/22/23	1/28/23
202305	McLeod County	30	1/29/23	2/4/23
202306	McLeod County	31	2/5/23	2/11/23
202307	McLeod County	37	2/12/23	2/18/23
202308	McLeod County	24	2/19/23	2/25/23
202309	McLeod County	16	2/26/23	3/4/23
202310	McLeod County	10	3/5/23	3/11/23
202311	McLeod County	15	3/12/23	3/18/23
202312	McLeod County	24	3/19/23	3/25/23
202313	McLeod County	24	3/26/23	4/1/23
202314	McLeod County	14	4/2/23	4/8/23
202315	McLeod County	13	4/9/23	4/15/23
202316	McLeod County	5	4/16/23	4/22/23
202317	McLeod County	16	4/23/23	4/29/23
202318	McLeod County	14	4/30/23	5/6/23
202319	McLeod County	14	5/7/23	5/13/23
202320	McLeod County	5	5/14/23	5/20/23
202321	McLeod County	3	5/21/23	5/27/23
202322	McLeod County	4	5/28/23	6/3/23
202323	McLeod County	0	6/4/23	6/10/23
202324	McLeod County	0	6/11/23	6/17/23
202325	McLeod County	0	6/18/23	6/24/23
202326	McLeod County	1	6/25/23	7/1/23
202327	McLeod County	1	7/2/23	7/8/23
202328	McLeod County	3	7/9/23	7/15/23
202329	McLeod County	3	7/16/23	7/22/23
202330	McLeod County	5	7/23/23	7/29/23
202331	McLeod County	35	7/30/23	8/5/23
202332	McLeod County	10	8/6/23	8/12/23
202333	McLeod County	16	8/13/23	8/19/23
202334	McLeod County	7	8/20/23	8/26/23
202335	McLeod County	23	8/27/23	9/2/23
202336	McLeod County	10	9/3/23	9/9/23
202337	McLeod County	22	9/10/23	9/16/23
202338	McLeod County	21	9/17/23	9/23/23
202339	McLeod County	26	9/24/23	9/30/23
202340	McLeod County	18	10/1/23	10/7/23
202341	McLeod County	19	10/8/23	10/14/23
202342	McLeod County	24	10/15/23	10/21/23
202343	McLeod County	12	10/22/23	10/28/23
202344	McLeod County	17	10/29/23	11/4/23
202345	McLeod County	31	11/5/23	11/11/23
202346	McLeod County	53	11/12/23	11/18/23
202347	McLeod County	47	11/19/23	11/25/23
202348	McLeod County	45	11/26/23	12/2/23
202349	McLeod County	61	12/3/23	12/9/23
202350	McLeod County	64	12/10/23	12/16/23
202351	McLeod County	97	12/17/23	12/23/23
202352	McLeod County	56	12/24/23	12/30/23
202401	McLeod County	44	12/31/23	1/6/24
202402	McLeod County	20	1/7/24	1/13/24
202403	McLeod County	18	1/14/24	1/20/24
202404	McLeod County	18	1/21/24	1/27/24
202405	McLeod County	16	1/28/24	2/3/24
202406	McLeod County	11	2/4/24	2/10/24
202407	McLeod County	30	2/11/24	2/17/24
202408	McLeod County	9	2/18/24	2/24/24
202409	McLeod County	17	2/25/24	3/2/24
202410	McLeod County	9	3/3/24	3/9/24
202411	McLeod County	10	3/10/24	3/16/24
202412	McLeod County	17	3/17/24	3/23/24
202413	McLeod County	2	3/24/24	3/30/24
202414	McLeod County	5	3/31/24	4/6/24
202415	McLeod County	0	4/7/24	4/13/24
202416	McLeod County	2	4/14/24	4/20/24
202417	McLeod County	1	4/21/24	4/27/24
202418	McLeod County	2	4/28/24	5/4/24
202419	McLeod County	1	5/5/24	5/11/24
202420	McLeod County	8	5/12/24	5/18/24
202421	McLeod County	14	5/19/24	5/25/24
202422	McLeod County	3	5/26/24	6/1/24
202423	McLeod County	4	6/2/24	6/8/24
202424	McLeod County	10	6/9/24	6/15/24
202425	McLeod County	3	6/16/24	6/22/24
202426	McLeod County	10	6/23/24	6/29/24
202427	McLeod County	6	6/30/24	7/6/24
202428	McLeod County	13	7/7/24	7/13/24
202429	McLeod County	13	7/14/24	7/20/24
202430	McLeod County	9	7/21/24	7/27/24
202431	McLeod County	27	7/28/24	8/3/24
202432	McLeod County	22	8/4/24	8/10/24
202433	McLeod County	24	8/11/24	8/17/24
202434	McLeod County	27	8/18/24	8/24/24
202435	McLeod County	16	8/25/24	8/31/24
202436	McLeod County	15	9/1/24	9/7/24
202437	McLeod County	20	9/8/24	9/14/24
202438	McLeod County	25	9/15/24	9/21/24
202439	McLeod County	17	9/22/24	9/28/24
202440	McLeod County	11	9/29/24	10/5/24
202441	McLeod County	13	10/6/24	10/12/24
202442	McLeod County	9	10/13/24	10/19/24
202443	McLeod County	10	10/20/24	10/26/24
202444	McLeod County	5	10/27/24	11/2/24
202445	McLeod County	7	11/3/24	11/9/24
202446	McLeod County	5	11/10/24	11/16/24
202447	McLeod County	3	11/17/24	11/23/24
202448	McLeod County	10	11/24/24	11/30/24
202449	McLeod County	27	12/1/24	12/7/24
202450	McLeod County	32	12/8/24	12/14/24
202451	McLeod County	22	12/15/24	12/21/24
202452	McLeod County	38	12/22/24	12/28/24
202501	McLeod County	33	12/29/24	1/4/25
202502	McLeod County	36	1/5/25	1/11/25
202503	McLeod County	20	1/12/25	1/18/25
202504	McLeod County	18	1/19/25	1/25/25
202505	McLeod County	17	1/26/25	2/1/25
202506	McLeod County	15	2/2/25	2/8/25
202507	McLeod County	15	2/9/25	2/15/25
202508	McLeod County	11	2/16/25	2/22/25
202509	McLeod County	10	2/23/25	3/1/25
202510	McLeod County	5	3/2/25	3/8/25
202511	McLeod County	14	3/9/25	3/15/25
202512	McLeod County	1	3/16/25	3/22/25
202513	McLeod County	3	3/23/25	3/29/25
202514	McLeod County	6	3/30/25	4/5/25
202515	McLeod County	6	4/6/25	4/12/25
202516	McLeod County	2	4/13/25	4/19/25
202517	McLeod County	4	4/20/25	4/26/25
