mmwr_week,case_count,sequence_count,difference
2020-W01,0,1,-1
2021-W01,80,0,80
2021-W02,47,0,47
2021-W03,31,0,31
2021-W04,28,0,28
2021-W05,13,0,13
2021-W06,17,0,17
2021-W07,17,0,17
2021-W08,34,3,31
2021-W09,32,2,30
2021-W10,48,13,35
2021-W11,67,22,45
2021-W12,76,17,59
2021-W13,88,26,62
2021-W14,122,25,97
2021-W15,123,32,91
2021-W16,93,10,83
2021-W17,108,16,92
2021-W18,54,4,50
2021-W19,47,3,44
2021-W20,15,0,15
2021-W21,7,0,7
2021-W22,5,0,5
2021-W23,14,0,14
2021-W24,13,0,13
2021-W25,14,1,13
2021-W26,4,0,4
2021-W27,6,0,6
2021-W28,6,1,5
2021-W29,16,4,12
2021-W30,33,15,18
2021-W31,62,29,33
2021-W32,56,9,47
2021-W33,77,18,59
2021-W34,99,10,89
2021-W35,143,6,137
2021-W36,139,4,135
2021-W37,183,8,175
2021-W38,158,7,151
2021-W39,228,36,192
2021-W40,220,58,162
2021-W41,173,12,161
2021-W42,157,19,138
2021-W43,213,19,194
2021-W44,183,22,161
2021-W45,208,9,199
2021-W46,211,0,211
2021-W47,204,6,198
2021-W48,325,7,318
2021-W49,145,4,141
2021-W50,156,3,153
2021-W51,132,1,131
2021-W52,194,7,187
2022-W01,442,0,442
2022-W02,543,0,543
2022-W03,534,4,530
2022-W04,378,8,370
2022-W05,253,4,249
2022-W06,115,9,106
2022-W07,84,7,77
2022-W08,34,2,32
2022-W09,32,8,24
2022-W10,17,3,14
2022-W11,18,8,10
2022-W12,11,3,8
2022-W13,12,4,8
2022-W14,19,5,14
2022-W15,13,5,8
2022-W16,28,10,18
2022-W17,50,26,24
2022-W18,61,31,30
2022-W19,76,22,54
2022-W20,82,31,51
2022-W21,92,45,47
2022-W22,83,31,52
2022-W23,82,37,45
2022-W24,62,32,30
2022-W25,62,38,24
2022-W26,62,10,52
2022-W27,48,16,32
2022-W28,59,26,33
2022-W29,58,31,27
2022-W30,80,21,59
2022-W31,86,33,53
2022-W32,102,43,59
2022-W33,71,50,21
2022-W34,89,54,35
2022-W35,87,51,36
2022-W36,56,24,32
2022-W37,44,15,29
2022-W38,45,14,31
2022-W39,25,0,25
2022-W40,43,18,25
2022-W41,58,21,37
2022-W42,51,13,38
2022-W43,42,14,28
2022-W44,40,16,24
2022-W45,28,5,23
2022-W46,54,13,41
2022-W47,52,26,26
2022-W48,55,10,45
2022-W49,49,8,41
2022-W50,54,5,49
2022-W51,41,4,37
2022-W52,35,8,27
2023-W01,23,6,17
2023-W02,28,8,20
2023-W03,43,13,30
2023-W04,33,6,27
2023-W05,30,5,25
2023-W06,31,5,26
2023-W07,37,10,27
2023-W08,24,6,18
2023-W09,16,3,13
2023-W10,10,5,5
2023-W11,15,2,13
2023-W12,24,5,19
2023-W13,24,3,21
2023-W14,14,2,12
2023-W15,13,3,10
2023-W16,5,1,4
2023-W17,16,2,14
2023-W18,14,4,10
2023-W19,14,0,14
2023-W20,5,0,5
2023-W21,3,0,3
2023-W22,4,2,2
2023-W23,0,0,0
2023-W24,0,0,0
2023-W25,0,1,-1
2023-W26,1,0,1
2023-W27,1,0,1
2023-W28,3,2,1
2023-W29,3,2,1
2023-W30,5,2,3
2023-W31,35,1,34
2023-W32,10,3,7
2023-W33,16,5,11
2023-W34,7,1,6
2023-W35,23,6,17
2023-W36,10,2,8
2023-W37,22,6,16
2023-W38,21,5,16
2023-W39,26,5,21
2023-W40,18,10,8
2023-W41,19,2,17
2023-W42,24,0,24
2023-W43,12,4,8
2023-W44,17,4,13
2023-W45,31,11,20
2023-W46,53,0,53
2023-W47,47,3,44
2023-W48,45,9,36
2023-W49,61,10,51
2023-W50,64,7,57
2023-W51,97,6,91
2023-W52,56,0,56
2024-W01,44,1,43
2024-W02,20,2,18
2024-W03,18,0,18
2024-W04,18,0,18
2024-W05,16,1,15
2024-W06,11,0,11
2024-W07,30,0,30
2024-W08,9,0,9
2024-W09,17,0,17
2024-W10,9,1,8
2024-W11,10,1,9
2024-W12,17,1,16
2024-W13,2,0,2
2024-W14,5,0,5
2024-W15,0,0,0
2024-W16,2,0,2
2024-W17,1,0,1
2024-W18,2,0,2
2024-W19,1,0,1
2024-W20,8,0,8
2024-W21,14,0,14
2024-W22,3,0,3
2024-W23,4,0,4
2024-W24,10,0,10
2024-W25,3,0,3
2024-W26,10,0,10
2024-W27,6,0,6
2024-W28,13,0,13
2024-W29,13,0,13
2024-W30,9,0,9
2024-W31,27,0,27
2024-W32,22,0,22
2024-W33,24,0,24
2024-W34,27,0,27
2024-W35,16,0,16
2024-W36,15,0,15
2024-W37,20,0,20
2024-W38,25,0,25
2024-W39,17,0,17
2024-W40,11,0,11
2024-W41,13,0,13
2024-W42,9,0,9
2024-W43,10,0,10
2024-W44,5,0,5
2024-W45,7,0,7
2024-W46,5,0,5
2024-W47,3,0,3
2024-W48,10,0,10
2024-W49,27,0,27
2024-W50,32,0,32
2024-W51,22,0,22
2024-W52,38,0,38
2025-W01,33,0,33
2025-W02,36,0,36
2025-W03,20,0,20
2025-W04,18,0,18
2025-W05,17,0,17
2025-W06,15,0,15
2025-W07,15,0,15
2025-W08,11,0,11
2025-W09,10,0,10
2025-W10,5,0,5
2025-W11,14,0,14
2025-W12,1,0,1
2025-W13,3,0,3
2025-W14,6,0,6
2025-W15,6,0,6
2025-W16,2,0,2
2025-W17,4,0,4
